day,hour,minute,intersection_id,is_weekend,arrival_rate,green_time,queue_length,waiting_time,time_of_day
0,0,0,0,0,2.1,48,0.0,0.0,00:00
0,0,0,1,0,1.32,49,0.0,0.0,00:00
0,0,0,2,0,0.0,58,0.0,0.0,00:00
0,0,0,3,0,1.43,24,0.0,0.0,00:00
0,0,0,4,0,0.86,60,0.0,0.0,00:00
0,0,5,0,0,2.0,23,0.0,1.89,00:05
0,0,5,1,0,0.55,17,0.0,1.65,00:05
0,0,5,2,0,0.7,51,0.0,0.13,00:05
0,0,5,3,0,2.43,40,0.0,0.0,00:05
0,0,5,4,0,0.69,35,0.0,0.84,00:05
0,0,10,0,0,0.15,17,0.0,2.06,00:10
0,0,10,1,0,1.98,48,0.0,0.48,00:10
0,0,10,2,0,1.97,33,0.0,1.9,00:10
0,0,10,3,0,2.15,44,0.0,0.0,00:10
0,0,10,4,0,2.07,18,2.93,8.54,00:10
0,0,15,0,0,1.4,41,0.0,2.08,00:15
0,0,15,1,0,1.74,52,0.0,3.25,00:15
0,0,15,2,0,2.79,15,4.94,19.32,00:15
0,0,15,3,0,1.42,34,0.0,0.0,00:15
0,0,15,4,0,0.95,22,0.0,0.69,00:15
0,0,20,0,0,1.12,41,0.0,3.77,00:20
0,0,20,1,0,1.86,21,0.0,0.0,00:20
0,0,20,2,0,1.17,11,0.0,0.0,00:20
0,0,20,3,0,1.42,11,0.0,2.96,00:20
0,0,20,4,0,1.67,26,0.0,0.0,00:20
0,0,25,0,0,2.65,20,3.76,12.36,00:25
0,0,25,1,0,1.44,45,0.0,0.02,00:25
0,0,25,2,0,1.08,50,0.0,3.1,00:25
0,0,25,3,0,1.41,32,0.0,3.74,00:25
0,0,25,4,0,1.14,57,0.0,5.08,00:25
0,0,30,0,0,0.18,44,0.0,1.63,00:30
0,0,30,1,0,2.28,42,0.0,0.46,00:30
0,0,30,2,0,1.46,38,0.0,0.0,00:30
0,0,30,3,0,0.98,50,0.0,0.0,00:30
0,0,30,4,0,1.11,57,0.0,0.0,00:30
0,0,35,0,0,0.66,47,0.0,0.83,00:35
0,0,35,1,0,2.81,56,0.0,0.0,00:35
0,0,35,2,0,1.68,44,0.0,0.38,00:35
0,0,35,3,0,1.84,40,0.0,0.0,00:35
0,0,35,4,0,1.17,27,0.0,0.18,00:35
0,0,40,0,0,2.11,31,0.0,0.0,00:40
0,0,40,1,0,0.76,49,0.0,2.11,00:40
0,0,40,2,0,1.46,34,0.0,0.0,00:40
0,0,40,3,0,0.97,29,0.0,1.98,00:40
0,0,40,4,0,1.98,11,2.91,19.65,00:40
0,0,45,0,0,0.71,31,0.0,0.16,00:45
0,0,45,1,0,0.58,42,0.0,0.0,00:45
0,0,45,2,0,2.67,15,5.91,22.33,00:45
0,0,45,3,0,0.79,26,0.0,0.0,00:45
0,0,45,4,0,0.7,35,0.0,3.32,00:45
0,0,50,0,0,1.01,57,0.0,0.54,00:50
0,0,50,1,0,2.9,38,0.0,0.0,00:50
0,0,50,2,0,1.8,21,0.0,0.0,00:50
0,0,50,3,0,2.23,19,1.65,6.74,00:50
0,0,50,4,0,2.13,11,5.3,29.05,00:50
0,0,55,0,0,2.22,59,0.0,0.41,00:55
0,0,55,1,0,3.07,49,0.0,0.0,00:55
0,0,55,2,0,1.69,35,0.0,0.0,00:55
0,0,55,3,0,2.04,45,0.0,0.9,00:55
0,0,55,4,0,1.56,33,0.0,0.0,00:55
0,1,0,0,0,2.62,34,0.0,0.0,01:00
0,1,0,1,0,0.98,34,0.0,0.0,01:00
0,1,0,2,0,1.17,28,0.0,0.0,01:00
0,1,0,3,0,1.0,30,0.0,1.33,01:00
0,1,0,4,0,1.21,40,0.0,3.63,01:00
0,1,5,0,0,2.82,53,0.0,0.12,01:05
0,1,5,1,0,1.68,11,2.66,16.8,01:05
0,1,5,2,0,2.75,13,8.59,37.72,01:05
0,1,5,3,0,0.95,28,0.0,0.0,01:05
0,1,5,4,0,0.3,29,0.0,1.54,01:05
0,1,10,0,0,1.49,42,0.0,0.45,01:10
0,1,10,1,0,0.95,29,0.0,0.0,01:10
0,1,10,2,0,3.39,20,6.27,18.59,01:10
0,1,10,3,0,2.04,37,0.0,3.18,01:10
0,1,10,4,0,0.34,36,0.0,0.68,01:10
0,1,15,0,0,2.48,37,0.0,0.0,01:15
0,1,15,1,0,2.01,34,0.0,1.4,01:15
0,1,15,2,0,1.52,42,0.0,3.05,01:15
0,1,15,3,0,1.89,36,0.0,0.0,01:15
